Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2017-18,Princeton,Ivy,FR,G,28,0,17.4,3.5,8.6,.402,1.4,4.3,.331,2.0,4.3,.475,.485,1.0,1.2,.853,1.0,2.0,3.0,1.4,1.1,0.4,1.1,1.7,9.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,Princeton,Ivy,SO,G,23,0,14.7,2.4,6.3,.384,0.9,3.2,.284,1.5,3.1,.486,.455,0.6,1.0,.542,1.0,1.7,2.7,0.8,0.6,0.3,1.1,1.2,6.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,Princeton,Ivy,SR,G,30,30,29.2,6.6,14.7,.450,2.3,5.9,.393,4.3,8.7,.489,.530,2.4,3.0,.809,1.6,4.2,5.8,1.6,1.4,0.5,1.7,1.9,17.9,
2022-23,Maryland,Big Ten,SR,G,35,34,30.5,5.6,12.3,.455,1.8,4.7,.388,3.8,7.6,.496,.529,1.3,1.7,.750,1.7,3.4,5.1,2.3,1.8,0.5,1.5,1.8,14.3,
Career,Career,Career,Career,,116,64,23.9,4.7,10.8,.435,1.7,4.6,.362,3.0,6.2,.489,.512,1.4,1.8,.768,1.4,2.9,4.3,1.6,1.3,0.4,1.4,1.7,12.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland (1 Yr),Maryland (1 Yr),Maryland (1 Yr),Maryland (1 Yr),,35,34,30.5,5.6,12.3,.455,1.8,4.7,.388,3.8,7.6,.496,.529,1.3,1.7,.750,1.7,3.4,5.1,2.3,1.8,0.5,1.5,1.8,14.3,
Princeton (3 Yrs),Princeton (3 Yrs),Princeton (3 Yrs),Princeton (3 Yrs),,81,30,21.0,4.3,10.2,.424,1.6,4.6,.351,2.7,5.6,.485,.504,1.4,1.8,.776,1.2,2.7,4.0,1.3,1.1,0.4,1.3,1.6,11.7,
