Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,Oregon,Pac-12,FR,F,24,1,12.3,1.5,3.5,.424,0.2,0.9,.238,1.3,2.7,.484,.453,0.2,0.3,.833,0.9,3.1,4.0,0.7,0.3,0.3,0.8,0.8,3.4,
2021-22,UCLA,Pac-12,FR,F,14,0,17.0,2.8,6.0,.464,0.3,0.9,.333,2.5,5.1,.486,.488,0.6,1.5,.429,1.4,3.1,4.5,0.7,0.9,0.6,1.8,2.7,6.5,
2022-23,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt
2023-24,UCLA,Pac-12,JR,F,30,29,23.8,3.3,9.4,.355,1.2,3.9,.314,2.1,5.5,.384,.420,0.8,1.1,.727,1.7,4.8,6.5,2.1,1.2,0.6,2.4,2.2,8.7,
2024-25,UCLA,Big Ten,SR,F,35,34,21.7,2.7,6.4,.427,0.9,2.6,.348,1.8,3.8,.481,.498,1.0,1.2,.814,0.9,4.6,5.5,2.4,1.4,0.8,1.5,1.8,7.4,
2025-26,UCLA,Big Ten,SR,F,38,3,23.8,3.6,7.1,.502,0.8,2.3,.326,2.8,4.8,.588,.555,1.1,1.4,.741,1.6,4.0,5.6,2.2,1.1,0.6,1.8,2.0,9.0,
Career,Career,Career,Career,,141,67,20.6,2.9,6.7,.430,0.8,2.4,.322,2.1,4.4,.488,.486,0.8,1.1,.720,1.3,4.1,5.4,1.8,1.0,0.6,1.7,1.9,7.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon (1 Yr),Oregon (1 Yr),Oregon (1 Yr),Oregon (1 Yr),,24,1,12.3,1.5,3.5,.424,0.2,0.9,.238,1.3,2.7,.484,.453,0.2,0.3,.833,0.9,3.1,4.0,0.7,0.3,0.3,0.8,0.8,3.4,
UCLA (4 Yrs),UCLA (4 Yrs),UCLA (4 Yrs),UCLA (4 Yrs),,117,66,22.4,3.2,7.4,.430,0.9,2.7,.328,2.3,4.7,.488,.490,0.9,1.3,.715,1.4,4.3,5.7,2.0,1.2,0.7,1.9,2.1,8.1,
