Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2019-20,Texas,Big 12,FR,G,30,26,27.9,3.0,8.8,.340,1.0,3.6,.284,2.0,5.2,.378,.398,2.3,3.2,.708,2.0,2.8,4.8,1.5,1.4,0.7,2.8,2.6,9.3,
2020-21,Texas,Big 12,SO,G,28,26,32.0,4.9,13.8,.353,1.1,3.6,.297,3.8,10.1,.373,.392,1.5,2.6,.589,1.9,3.1,4.9,2.0,2.1,0.6,2.5,3.1,12.3,
2021-22,Duke,ACC,JR,G,23,22,28.5,4.1,10.5,.388,1.0,3.1,.333,3.0,7.4,.412,.438,1.7,2.5,.690,1.3,4.2,5.5,2.1,1.8,0.5,2.8,1.8,11.0,
2022-23,Duke,ACC,SR,G,33,33,28.9,4.2,10.8,.394,1.3,4.2,.321,2.9,6.6,.440,.456,1.6,2.3,.675,1.2,3.5,4.8,2.5,2.2,0.6,2.2,1.8,11.4,
2023-24,Ohio St.,Big Ten,SR,G,32,32,28.7,3.7,9.1,.409,1.3,3.9,.320,2.5,5.2,.476,.478,1.4,2.2,.643,0.8,3.3,4.1,3.4,2.5,0.9,2.4,2.8,10.1,
Career,Career,Career,Career,,146,139,29.2,4.0,10.5,.376,1.2,3.7,.311,2.8,6.8,.412,.431,1.7,2.6,.663,1.4,3.3,4.8,2.3,2.0,0.7,2.5,2.4,10.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke (2 Yrs),Duke (2 Yrs),Duke (2 Yrs),Duke (2 Yrs),,56,55,28.7,4.2,10.7,.392,1.2,3.7,.325,3.0,6.9,.428,.449,1.6,2.4,.681,1.3,3.8,5.1,2.3,2.0,0.6,2.5,1.8,11.2,
Ohio State (1 Yr),Ohio State (1 Yr),Ohio State (1 Yr),Ohio State (1 Yr),,32,32,28.7,3.7,9.1,.409,1.3,3.9,.320,2.5,5.2,.476,.478,1.4,2.2,.643,0.8,3.3,4.1,3.4,2.5,0.9,2.4,2.8,10.1,
Texas (2 Yrs),Texas (2 Yrs),Texas (2 Yrs),Texas (2 Yrs),,58,52,29.8,3.9,11.2,.348,1.1,3.6,.290,2.8,7.6,.375,.395,1.9,2.9,.657,1.9,2.9,4.9,1.7,1.8,0.6,2.7,2.8,10.8,
