Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,NC State,ACC,FR,G,4,0,10.3,0.5,3.3,.154,0.0,1.3,.000,0.5,2.0,.250,.154,0.3,1.3,.200,1.8,0.8,2.5,0.3,0.8,0.0,0.8,1.3,1.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,LSU,SEC,SO,G,32,32,33.5,5.2,12.5,.414,0.6,1.9,.306,4.6,10.6,.434,.438,2.1,3.0,.698,1.2,3.9,5.1,2.1,1.8,0.3,2.5,1.9,13.1,
2017-18,LSU,SEC,JR,G,29,29,37.0,7.1,16.2,.436,0.9,3.3,.271,6.2,12.9,.479,.464,3.1,4.0,.776,1.5,3.2,4.7,2.3,2.0,0.4,2.0,2.1,18.1,
2018-19,Baylor,Big 12,SR,G,38,38,32.0,5.2,10.9,.473,0.0,0.1,.200,5.1,10.8,.477,.475,1.3,1.8,.739,0.4,3.3,3.7,5.3,1.6,0.4,2.1,1.6,11.7,
Career,Career,Career,Career,,103,99,33.0,5.5,12.6,.438,0.4,1.6,.274,5.1,11.0,.463,.456,2.0,2.8,.731,1.0,3.4,4.4,3.3,1.7,0.4,2.2,1.8,13.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor (1 Yr),Baylor (1 Yr),Baylor (1 Yr),Baylor (1 Yr),,38,38,32.0,5.2,10.9,.473,0.0,0.1,.200,5.1,10.8,.477,.475,1.3,1.8,.739,0.4,3.3,3.7,5.3,1.6,0.4,2.1,1.6,11.7,
Louisiana State (2 Yrs),Louisiana State (2 Yrs),Louisiana State (2 Yrs),Louisiana State (2 Yrs),,61,61,35.2,6.1,14.3,.426,0.7,2.6,.285,5.3,11.7,.457,.452,2.6,3.5,.741,1.3,3.6,4.9,2.2,1.9,0.3,2.3,2.0,15.5,
NC State (1 Yr),NC State (1 Yr),NC State (1 Yr),NC State (1 Yr),,4,0,10.3,0.5,3.3,.154,0.0,1.3,.000,0.5,2.0,.250,.154,0.3,1.3,.200,1.8,0.8,2.5,0.3,0.8,0.0,0.8,1.3,1.3,
