Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2016-17,Maryland,Big Ten,FR,G,34,34,30.9,3.9,9.6,.405,2.1,5.6,.374,1.8,4.1,.449,.514,1.6,2.4,.663,0.3,2.6,3.0,6.0,1.3,0.1,3.1,2.1,11.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,Oregon St.,Pac-12,SO,G,34,34,27.0,5.7,12.4,.456,2.0,5.4,.368,3.7,7.1,.523,.535,2.1,2.9,.720,0.5,2.9,3.4,4.5,0.6,0.1,2.9,2.0,15.4,
2019-20,Oregon St.,Pac-12,JR,G,32,32,29.7,5.6,12.5,.448,2.0,5.3,.368,3.6,7.2,.507,.526,1.8,2.2,.789,0.7,2.3,2.9,4.7,0.7,0.0,2.4,1.7,14.9,
2020-21,Arkansas,SEC,SR,G,27,27,31.9,5.6,11.7,.483,1.9,4.9,.397,3.7,6.8,.543,.565,1.9,2.6,.714,0.5,2.8,3.3,3.9,0.8,0.0,1.6,2.1,15.0,
Career,Career,Career,Career,,127,127,29.7,5.2,11.5,.448,2.0,5.3,.375,3.2,6.2,.510,.534,1.8,2.6,.719,0.5,2.6,3.1,4.8,0.8,0.1,2.5,2.0,14.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas (1 Yr),Arkansas (1 Yr),Arkansas (1 Yr),Arkansas (1 Yr),,27,27,31.9,5.6,11.7,.483,1.9,4.9,.397,3.7,6.8,.543,.565,1.9,2.6,.714,0.5,2.8,3.3,3.9,0.8,0.0,1.6,2.1,15.0,
Maryland (1 Yr),Maryland (1 Yr),Maryland (1 Yr),Maryland (1 Yr),,34,34,30.9,3.9,9.6,.405,2.1,5.6,.374,1.8,4.1,.449,.514,1.6,2.4,.663,0.3,2.6,3.0,6.0,1.3,0.1,3.1,2.1,11.5,
Oregon State (2 Yrs),Oregon State (2 Yrs),Oregon State (2 Yrs),Oregon State (2 Yrs),,66,66,28.3,5.6,12.5,.452,2.0,5.3,.368,3.7,7.1,.515,.531,1.9,2.6,.749,0.6,2.6,3.2,4.6,0.6,0.1,2.6,1.8,15.2,
