 
Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,Louisville,ACC,FR,G,30,30,30.1,4.0,9.4,.429,1.6,4.3,.383,2.4,5.1,.468,.516,1.5,1.8,.830,1.2,3.9,5.2,2.1,1.2,0.2,1.7,1.9,11.2,
2021-22,Louisville,ACC,SO,G,34,34,30.9,5.4,12.6,.432,1.3,3.7,.360,4.1,8.9,.462,.485,2.2,2.7,.813,1.0,2.6,3.6,2.2,1.2,0.1,2.1,1.3,14.4,
2022-23,Louisville,ACC,JR,G,37,37,36.9,6.9,16.8,.411,1.6,5.4,.293,5.4,11.5,.466,.457,4.3,4.9,.874,0.8,3.7,4.5,3.2,1.5,0.3,3.7,1.9,19.7,
2023-24,LSU,SEC,SR,G,33,33,31.3,3.8,9.9,.378,1.2,3.6,.339,2.5,6.4,.400,.439,2.9,3.5,.833,0.5,2.0,2.4,3.6,1.3,0.4,2.6,2.1,11.6,
2024-25,TCU,Big 12,SR,G,38,38,35.3,6.1,13.6,.452,1.7,5.1,.338,4.4,8.4,.522,.517,3.9,4.7,.827,0.8,3.8,4.6,5.4,1.2,0.6,3.0,1.9,17.9,AP-AA-3USBWA-AA-3W-AAWBCA-AA
Career,Career,Career,Career,,172,172,33.1,5.3,12.7,.422,1.5,4.4,.338,3.8,8.2,.468,.482,3.0,3.6,.840,0.8,3.2,4.1,3.4,1.3,0.3,2.7,1.8,15.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana State (1 Yr),Louisiana State (1 Yr),Louisiana State (1 Yr),Louisiana State (1 Yr),,33,33,31.3,3.8,9.9,.378,1.2,3.6,.339,2.5,6.4,.400,.439,2.9,3.5,.833,0.5,2.0,2.4,3.6,1.3,0.4,2.6,2.1,11.6,
Louisville (3 Yrs),Louisville (3 Yrs),Louisville (3 Yrs),Louisville (3 Yrs),,101,101,32.9,5.6,13.2,.422,1.5,4.5,.337,4.1,8.7,.465,.479,2.7,3.2,.850,1.0,3.4,4.4,2.5,1.3,0.2,2.6,1.7,15.4,
TCU (1 Yr),TCU (1 Yr),TCU (1 Yr),TCU (1 Yr),,38,38,35.3,6.1,13.6,.452,1.7,5.1,.338,4.4,8.4,.522,.517,3.9,4.7,.827,0.8,3.8,4.6,5.4,1.2,0.6,3.0,1.9,17.9,
