Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,Notre Dame,ACC,FR,G,6,0,22.7,4.0,7.8,.511,0.2,1.7,.100,3.8,6.2,.622,.521,1.2,2.5,.467,1.7,2.0,3.7,3.5,1.2,0.2,3.0,2.3,9.3,
2021-22,Notre Dame,ACC,FR,G,33,33,33.3,5.4,11.8,.455,1.0,3.7,.270,4.4,8.1,.539,.497,2.0,2.9,.677,0.5,5.2,5.7,7.4,1.8,0.2,3.8,2.1,13.7,
2022-23,Notre Dame,ACC,SO,G,28,28,31.6,5.2,11.3,.460,0.6,2.8,.228,4.5,8.4,.538,.489,3.3,4.3,.767,0.4,6.8,7.3,6.9,2.1,0.2,3.3,1.7,14.3,AP-AA-2USBWA-AA-3
2023-24,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt,Did not play - injury/redshirt
2024-25,Notre Dame,ACC,SR,G,34,34,33.0,5.4,11.1,.483,2.1,5.3,.406,3.2,5.9,.553,.579,2.4,3.1,.790,0.3,5.4,5.6,5.8,1.4,0.2,2.5,1.8,15.4,AP-AA-2USBWA-AA-2W-AA
2025-26,TCU,Big 12,SR,G,38,38,35.4,7.1,14.7,.481,1.9,5.5,.351,5.1,9.2,.559,.547,3.6,4.2,.839,0.5,6.7,7.2,6.6,1.8,0.3,3.7,2.1,19.6,AP-AA-2USBWA-AA-2W-AAWBCA-AA
Career,Career,Career,Career,,139,133,33.0,5.7,12.1,.472,1.4,4.3,.331,4.3,7.8,.551,.531,2.7,3.6,.769,0.5,5.8,6.3,6.5,1.7,0.2,3.3,2.0,15.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame (4 Yrs),Notre Dame (4 Yrs),Notre Dame (4 Yrs),Notre Dame (4 Yrs),,101,95,32.1,5.2,11.2,.468,1.2,3.9,.320,4.0,7.3,.547,.523,2.4,3.3,.735,0.5,5.5,6.0,6.5,1.7,0.2,3.2,1.9,14.2,
TCU (1 Yr),TCU (1 Yr),TCU (1 Yr),TCU (1 Yr),,38,38,35.4,7.1,14.7,.481,1.9,5.5,.351,5.1,9.2,.559,.547,3.6,4.2,.839,0.5,6.7,7.2,6.6,1.8,0.3,3.7,2.1,19.6,
