Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2015-16,UNC,ACC,FR,G,32,29,33.9,5.0,13.8,.360,2.4,8.1,.292,2.6,5.7,.456,.446,2.4,3.4,.713,1.8,5.4,7.2,2.5,1.4,1.4,3.1,3.0,14.7,
2016-17,UNC,ACC,SO,G,26,26,34.2,6.1,15.5,.392,3.1,9.6,.325,3.0,5.9,.500,.493,1.6,2.4,.651,2.4,5.5,7.9,2.2,2.0,1.2,3.5,2.7,16.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,UNC,ACC,JR,G,27,27,34.3,5.4,13.1,.415,3.0,8.1,.373,2.4,5.0,.485,.531,1.3,2.0,.660,1.7,3.8,5.5,3.1,1.9,1.0,2.7,2.9,15.2,
2019-20,USC,Pac-12,SR,G,4,2,23.5,3.3,8.3,.394,1.5,4.8,.316,1.8,3.5,.500,.485,2.3,2.5,.900,1.0,5.0,6.0,1.5,1.0,1.8,1.8,2.0,10.3,
2020-21,UNC,ACC,SR,G,23,17,28.4,4.0,10.4,.385,1.6,5.1,.305,2.4,5.3,.463,.460,2.4,2.8,.859,0.7,4.7,5.4,3.1,1.7,0.8,1.8,2.3,12.0,
Career,Career,Career,Career,,112,101,32.6,5.1,13.1,.387,2.5,7.7,.324,2.6,5.4,.476,.482,1.9,2.7,.728,1.7,4.9,6.5,2.7,1.7,1.1,2.8,2.8,14.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina (4 Yrs),North Carolina (4 Yrs),North Carolina (4 Yrs),North Carolina (4 Yrs),,108,99,32.9,5.1,13.3,.387,2.5,7.8,.325,2.6,5.5,.475,.482,1.9,2.7,.722,1.7,4.9,6.6,2.7,1.8,1.1,2.8,2.8,14.8,
Southern California (1 Yr),Southern California (1 Yr),Southern California (1 Yr),Southern California (1 Yr),,4,2,23.5,3.3,8.3,.394,1.5,4.8,.316,1.8,3.5,.500,.485,2.3,2.5,.900,1.0,5.0,6.0,1.5,1.0,1.8,1.8,2.0,10.3,
