Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2018-19,Maryland,Big Ten,FR,G,34,34,34.7,4.7,11.1,.422,2.8,6.8,.411,1.9,4.3,.438,.548,1.3,1.5,.860,0.3,3.2,3.5,3.3,0.8,0.2,2.6,1.2,13.4,
2019-20,Maryland,Big Ten,SO,G,32,32,29.8,3.9,9.6,.405,2.8,6.6,.425,1.1,2.9,.362,.552,0.7,0.7,.913,0.2,2.3,2.5,2.3,1.4,0.2,1.9,0.7,11.2,
2020-21,Oregon,Pac-12,JR,G,24,20,24.8,3.3,8.3,.404,1.6,4.9,.333,1.7,3.4,.506,.503,1.0,1.1,.923,0.1,2.3,2.4,1.8,0.5,0.1,1.3,1.1,9.3,
2021-22,Ohio St.,Big Ten,SR,G,32,32,34.5,6.8,14.1,.482,3.6,7.5,.475,3.3,6.6,.491,.608,1.4,1.6,.902,0.4,3.2,3.5,2.0,0.9,0.3,1.6,1.2,18.6,
2022-23,Ohio St.,Big Ten,SR,G,36,36,35.5,6.2,14.5,.430,3.2,7.8,.414,3.0,6.7,.448,.541,1.5,1.8,.859,0.3,2.5,2.8,2.3,1.4,0.3,2.1,1.4,17.2,
Career,Career,Career,Career,,158,154,32.3,5.1,11.7,.434,2.9,6.8,.420,2.2,4.9,.453,.557,1.2,1.4,.883,0.3,2.7,3.0,2.4,1.0,0.2,1.9,1.1,14.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland (2 Yrs),Maryland (2 Yrs),Maryland (2 Yrs),Maryland (2 Yrs),,66,66,32.3,4.3,10.3,.414,2.8,6.7,.418,1.5,3.6,.408,.550,1.0,1.1,.877,0.2,2.8,3.0,2.8,1.1,0.2,2.3,1.0,12.3,
Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),,68,68,35.0,6.5,14.3,.454,3.4,7.6,.442,3.1,6.7,.468,.572,1.5,1.7,.878,0.4,2.8,3.1,2.1,1.2,0.3,1.9,1.3,17.9,
Oregon (1 Yr),Oregon (1 Yr),Oregon (1 Yr),Oregon (1 Yr),,24,20,24.8,3.3,8.3,.404,1.6,4.9,.333,1.7,3.4,.506,.503,1.0,1.1,.923,0.1,2.3,2.4,1.8,0.5,0.1,1.3,1.1,9.3,
