player,team,pos,g,mp,g_1,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Julie Allemand,TOR,G,3,80,3,3,26.7,1.3,3.7,.364,0.7,2.3,.286,0.7,1.3,.500,0.0,0.0,,0.0,2.3,4.0,2.0,0.0,1.3,0.7,3.3
Rebecca Allen,NYL,F-G,1,14,1,0,14.0,1.0,3.0,.333,1.0,2.0,.500,0.0,1.0,.000,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0
Laeticia Amihere,GSV,F,3,51,3,0,17.0,2.3,4.0,.583,0.0,0.3,.000,2.3,3.7,.636,1.7,3.0,.556,1.3,3.7,2.3,0.3,1.7,1.3,2.7,6.3
Georgia Amoore,WAS,G,3,65,3,3,21.7,2.3,6.7,.350,1.3,4.3,.308,1.0,2.3,.429,0.7,0.7,1.000,0.0,1.3,4.7,1.0,0.0,2.7,2.3,6.7
Nell Angloma,CON,F,1,14,1,0,14.0,3.0,6.0,.500,0.0,0.0,,3.0,6.0,.500,1.0,2.0,.500,1.0,1.0,1.0,0.0,0.0,1.0,2.0,7.0
Pauline Astier,NYL,G,4,107,4,4,26.8,6.3,10.0,.625,1.3,2.8,.455,5.0,7.3,.690,3.0,4.3,.706,1.3,3.8,4.0,1.5,0.0,1.8,3.5,16.8
Ariel Atkins,LAS,G,2,48,2,2,24.0,1.5,8.0,.188,0.0,3.5,.000,1.5,4.5,.333,2.0,2.0,1.000,1.5,3.0,2.5,2.0,0.0,2.5,2.5,5.0
Shakira Austin,WAS,C,3,95,3,3,31.7,6.3,12.3,.514,0.0,0.7,.000,6.3,11.7,.543,5.0,8.0,.625,1.0,10.0,3.7,0.7,1.7,2.0,3.7,17.7
Valeriane Ayayi,PHO,F,2,30,2,1,15.0,2.5,5.0,.500,1.0,2.5,.400,1.5,2.5,.600,1.0,1.5,.667,1.0,3.0,2.0,0.5,0.0,1.5,1.5,7.0
Rachel Banham,CHI,G,4,66,4,0,16.5,2.0,5.3,.381,1.0,3.3,.308,1.0,2.0,.500,0.3,0.5,.500,0.0,0.3,0.8,0.3,0.3,1.0,1.5,5.3
Sarah Ashlee Barker,PDX,G,3,67,3,0,22.3,3.3,6.0,.556,1.3,2.3,.571,2.0,3.7,.545,0.0,0.0,,0.7,3.0,1.7,0.7,0.3,2.0,2.0,8.0
Raegan Beers,CON,F,3,43,3,0,14.3,1.7,4.3,.385,0.0,0.0,,1.7,4.3,.385,1.3,2.7,.500,1.3,3.0,0.7,0.3,0.0,0.3,3.0,4.7
Kierstan Bell,LVA,F,3,36,3,0,12.0,0.0,2.3,.000,0.0,1.0,.000,0.0,1.3,.000,0.0,0.0,,0.0,2.3,0.7,0.3,0.3,0.7,0.3,0.0
Lauren Betts,WAS,C,3,44,3,0,14.7,1.3,4.3,.308,0.0,0.0,,1.3,4.3,.308,1.0,1.3,.750,2.0,3.0,0.7,0.0,0.3,0.3,2.0,3.7
Monique Billings,IND,F,3,82,3,3,27.3,2.7,6.7,.400,0.7,1.3,.500,2.0,5.3,.375,1.7,2.7,.625,3.0,7.3,2.0,1.7,0.7,1.3,2.7,7.7
DeWanna Bonner,PHO,F-G,4,117,4,4,29.3,4.0,9.8,.410,1.3,4.3,.294,2.8,5.5,.500,1.3,1.3,1.000,0.8,7.3,1.8,0.5,1.3,1.0,2.0,10.5
Isobel Borlase,ATL,G,3,11,3,0,3.7,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0
Aliyah Boston,IND,C-F,3,69,3,3,23.0,4.0,8.3,.480,0.7,2.0,.333,3.3,6.3,.526,3.3,4.7,.714,2.0,5.0,2.0,1.3,1.0,1.0,3.3,12.0
Cameron Brink,LAS,F,4,62,4,0,15.5,2.5,4.0,.625,0.0,1.0,.000,2.5,3.0,.833,2.0,3.0,.667,1.3,3.3,1.0,0.5,1.5,2.0,3.8,7.0
NoÃ©mie Brochant,PHO,F-G,4,57,4,0,14.3,1.8,3.0,.583,1.0,1.5,.667,0.8,1.5,.500,0.3,0.3,1.000,0.3,1.5,0.3,0.3,0.0,0.3,1.5,4.8
Lexie Brown,SEA,G,4,76,4,0,19.0,1.8,3.3,.538,1.5,3.0,.500,0.3,0.3,1.000,0.0,0.0,,0.3,2.3,1.3,0.0,0.3,2.0,1.5,5.0
Paige Bueckers,DAL,G,3,96,3,3,32.0,6.7,11.7,.571,2.0,3.7,.545,4.7,8.0,.583,5.3,6.7,.800,0.0,2.7,5.0,0.3,0.3,1.3,2.0,20.7
Frieda BÃ¼hner,PDX,F-C,3,35,3,0,11.7,0.7,2.3,.286,0.0,1.7,.000,0.7,0.7,1.000,0.7,0.7,1.000,0.7,1.7,0.0,0.0,0.0,0.7,2.3,2.0
Kennedy Burke,CON,G-F,4,113,4,4,28.3,3.0,9.8,.308,0.8,3.8,.200,2.3,6.0,.375,1.0,1.5,.667,1.0,3.3,4.0,1.0,1.3,3.0,2.8,7.8
Rae Burrell,LAS,G-F,4,110,4,4,27.5,2.8,6.0,.458,0.8,2.3,.333,2.0,3.8,.533,1.3,1.5,.833,1.3,3.0,1.5,0.8,0.0,2.3,3.0,7.5
Veronica Burton,GSV,G,3,100,3,3,33.3,4.3,12.3,.351,1.7,5.0,.333,2.7,7.3,.364,4.7,5.0,.933,0.7,2.7,7.3,2.0,0.0,2.0,4.0,15.0
Maya Caldwell,MIN,G,4,44,4,0,11.0,1.0,2.5,.400,0.5,1.5,.333,0.5,1.0,.500,0.3,0.3,1.000,0.3,1.5,1.3,0.5,0.3,0.5,0.8,2.8
Jordin Canada,ATL,G,3,91,3,3,30.3,5.3,10.0,.533,1.3,4.0,.333,4.0,6.0,.667,2.0,2.3,.857,0.7,4.0,5.3,3.3,0.0,2.3,2.0,14.0
Emma Cannon,LAS,F,1,2,1,0,2.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
Kamilla Cardoso,CHI,C,4,100,4,4,25.0,4.5,9.8,.462,0.0,0.0,,4.5,9.8,.462,3.0,5.0,.600,3.8,10.3,1.8,0.3,1.8,1.5,3.3,12.0
Bridget Carleton,PDX,F,3,88,3,3,29.3,5.7,12.3,.459,3.3,8.0,.417,2.3,4.3,.538,2.0,2.3,.857,0.7,2.3,2.0,2.0,0.3,0.3,1.7,16.7
Chennedy Carter,LVA,G,5,107,5,0,21.4,7.8,11.6,.672,0.6,1.6,.375,7.2,10.0,.720,3.2,4.4,.727,0.8,2.8,2.0,1.6,0.2,2.4,3.0,19.4
Sha Carter,PHO,F,2,18,2,0,9.0,0.5,1.5,.333,0.0,1.0,.000,0.5,0.5,1.000,0.0,0.0,,0.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0
Emma ÄechovÃ¡,MIN,C,3,52,3,0,17.3,3.3,5.3,.625,0.0,0.3,.000,3.3,5.0,.667,1.7,2.7,.625,1.3,3.7,0.0,0.3,0.7,1.3,4.0,8.3
Kaila Charles,GSV,G-F,3,78,3,2,26.0,2.3,6.3,.368,1.0,3.3,.300,1.3,3.0,.444,0.7,0.7,1.000,2.7,6.3,1.7,0.3,0.3,1.3,4.3,6.3
Kaitlyn Chen,GSV,G,3,43,3,0,14.3,2.7,7.3,.364,0.7,1.3,.500,2.0,6.0,.333,0.7,0.7,1.000,1.0,3.3,1.3,0.0,0.0,1.0,0.7,6.7
Sonia Citron,WAS,G,3,108,3,3,36.0,7.7,12.7,.605,1.3,5.3,.250,6.3,7.3,.864,7.7,9.3,.821,1.3,4.3,2.0,1.7,1.0,2.0,1.7,24.3
Alysha Clark,DAL,F,3,22,3,0,7.3,0.7,1.0,.667,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.0,,0.0,1.7,0.0,0.3,0.0,0.3,1.3,1.7
Caitlin Clark,IND,G,4,123,4,4,30.8,7.8,18.3,.425,3.0,9.3,.324,4.8,9.0,.528,5.8,5.8,1.000,0.3,5.0,8.5,1.0,1.0,5.0,3.0,24.3
Natasha Cloud,CHI,G,3,73,3,1,24.3,3.7,8.0,.458,0.7,2.7,.250,3.0,5.3,.563,0.3,1.7,.200,0.3,4.3,4.7,0.7,0.0,2.7,4.3,8.3
Nia Coffey,MIN,F,4,107,4,4,26.8,3.0,5.3,.571,1.8,3.3,.538,1.3,2.0,.625,0.0,0.0,,0.3,6.0,1.0,0.5,1.5,0.8,4.3,7.8
Maria Conde,TOR,F,4,88,4,0,22.0,2.5,7.5,.333,1.8,4.5,.389,0.8,3.0,.250,0.5,0.5,1.000,1.5,3.8,0.8,0.5,0.0,1.3,2.0,7.3
Zia Cooke,SEA,G,4,73,4,0,18.3,3.0,9.3,.324,1.5,3.8,.400,1.5,5.5,.273,2.3,3.3,.692,1.3,3.0,2.0,0.5,0.0,0.8,1.8,9.8
Kahleah Copper,PHO,G-F,4,133,4,4,33.3,5.5,17.0,.324,1.0,5.5,.182,4.5,11.5,.391,5.8,6.5,.885,0.3,1.8,2.3,1.5,0.0,2.8,2.0,17.8
Aicha Coulibaly,CHI,G,3,43,3,0,14.3,1.7,5.7,.294,0.0,1.0,.000,1.7,4.7,.357,2.0,2.0,1.000,0.3,1.3,0.7,1.0,0.0,0.0,2.3,5.3
Sophie Cunningham,IND,G,4,98,4,3,24.5,3.3,6.3,.520,1.3,3.5,.357,2.0,2.8,.727,2.0,2.0,1.000,0.5,3.8,1.5,0.5,0.3,0.8,2.0,9.8
Damiris Dantas,IND,C-F,4,37,4,0,9.3,1.5,2.8,.545,1.0,2.3,.444,0.5,0.5,1.000,0.0,0.0,,0.0,1.0,0.3,0.3,0.5,0.8,2.8,4.0
Antonia Delaere,MIN,G,4,50,4,0,12.5,1.0,1.5,.667,0.3,0.5,.500,0.8,1.0,.750,0.3,0.3,1.000,0.0,0.3,1.0,0.3,0.0,0.5,1.3,2.5
Skylar Diggins,CHI,G,3,79,3,3,26.3,4.3,11.0,.394,1.0,3.0,.333,3.3,8.0,.417,2.3,3.7,.636,1.0,6.0,5.7,1.0,1.3,0.7,2.3,12.0
Stefanie Dolson,SEA,C,4,100,4,4,25.0,3.0,5.0,.600,0.8,2.3,.333,2.3,2.8,.818,1.8,2.0,.875,0.5,4.3,1.3,0.5,1.3,1.5,4.0,8.5
Angela DugaliÄ,WAS,F,3,29,3,0,9.7,1.0,2.7,.375,0.3,1.7,.200,0.7,1.0,.667,0.0,0.7,.000,0.0,2.3,0.0,0.3,0.3,0.3,1.7,2.3
Aaliyah Edwards,CON,F,1,17,1,1,17.0,3.0,5.0,.600,0.0,0.0,,3.0,5.0,.600,0.0,0.0,,1.0,3.0,0.0,1.0,0.0,2.0,3.0,6.0
Emily Engstler,PDX,F,3,66,3,3,22.0,2.7,5.3,.500,1.3,2.7,.500,1.3,2.7,.500,0.3,0.7,.500,0.3,3.0,1.0,1.0,2.3,2.3,3.0,7.0
Temi Fagbenle,TOR,C,1,16,1,1,16.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,4.0,4.0,2.0
Mariella Fasoula,TOR,C,1,1,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Sania Feagin,LAS,F,1,3,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alex Fowler,NYL,F,1,17,1,0,17.0,4.0,7.0,.571,2.0,5.0,.400,2.0,2.0,1.000,2.0,2.0,1.000,0.0,0.0,1.0,0.0,0.0,3.0,6.0,12.0
Azzi Fudd,DAL,G,2,37,2,0,18.5,2.5,4.5,.556,0.5,2.0,.250,2.0,2.5,.800,0.0,0.0,,0.5,1.0,0.0,1.0,0.5,1.0,2.0,5.5
Rebekah Gardner,NYL,G,4,89,4,0,22.3,3.5,5.5,.636,1.0,2.3,.444,2.5,3.3,.769,2.0,2.3,.889,1.3,3.5,2.8,0.3,0.0,1.0,2.0,10.0
Luisa GeiselsÃ¶der,PDX,C,3,72,3,3,24.0,3.0,8.7,.346,1.3,4.7,.286,1.7,4.0,.417,1.7,1.7,1.000,0.7,5.7,2.0,0.7,1.0,0.7,3.0,9.0
Allisha Gray,ATL,G,3,103,3,3,34.3,8.0,18.7,.429,2.0,7.3,.273,6.0,11.3,.529,7.0,8.7,.808,1.0,7.0,1.3,0.7,1.0,2.0,2.7,25.0
Chelsea Gray,LVA,G,5,144,5,5,28.8,4.6,8.6,.535,2.6,4.6,.565,2.0,4.0,.500,0.2,0.2,1.000,0.2,4.4,6.6,0.6,0.8,3.8,1.2,12.0
Chance Gray,LAS,G,4,45,4,0,11.3,0.8,2.5,.300,0.0,1.3,.000,0.8,1.3,.600,0.0,0.0,,0.0,1.0,0.3,0.0,0.0,0.5,1.3,1.5
Aubrey Griffin,NYL,G-F,4,8,4,0,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.5
Brittney Griner,CON,C,2,55,2,2,27.5,6.0,11.0,.545,0.0,1.0,.000,6.0,10.0,.600,2.5,2.5,1.000,3.0,6.0,1.0,1.0,0.0,2.0,3.5,14.5
Megan Gustafson,PDX,C,3,43,3,0,14.3,3.7,5.3,.688,0.7,2.3,.286,3.0,3.0,1.000,2.0,2.7,.750,0.7,1.7,0.3,0.0,0.0,1.0,1.7,10.0
Dearica Hamby,LAS,F,4,119,4,4,29.8,6.3,10.0,.625,0.3,1.0,.250,6.0,9.0,.667,4.3,6.0,.708,2.0,7.3,2.3,1.3,0.0,2.5,3.3,17.0
EliÅ¡ka HamzovÃ¡,MIN,G,2,7,2,0,3.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,1.0,1.0,1.000,0.0,0.5,0.0,0.0,0.0,1.0,0.5,1.0
Rori Harmon,WAS,G,3,50,3,0,16.7,0.3,1.7,.200,0.3,1.0,.333,0.0,0.7,.000,0.3,0.7,.500,0.0,2.0,2.3,1.7,0.0,3.0,2.0,1.3
Jordan Harrison,PDX,G,1,11,1,0,11.0,2.0,6.0,.333,0.0,0.0,,2.0,6.0,.333,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,2.0,2.0,4.0
Tyasha Harris,IND,G,4,44,4,0,11.0,1.3,2.8,.455,0.3,1.0,.250,1.0,1.8,.571,0.5,0.5,1.000,0.0,1.3,1.3,0.0,0.3,0.8,0.3,3.3
Tiffany Hayes,GSV,G,1,4,1,1,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,1.0,2.0,.500,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Lexi Held,TOR,G,4,14,4,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Natisha Hiedeman,SEA,G,4,101,4,4,25.3,4.0,10.3,.390,1.0,3.8,.267,3.0,6.5,.462,1.3,1.8,.714,0.0,2.3,3.3,0.8,0.3,2.0,3.3,10.3
Naz Hillmon,ATL,F,3,99,3,3,33.0,2.7,8.0,.333,0.7,3.7,.182,2.0,4.3,.462,1.3,2.7,.500,1.7,5.0,1.0,0.3,0.0,0.3,2.7,7.3
Myisha Hines-Allen,IND,F,4,81,4,2,20.3,2.3,3.8,.600,0.0,0.8,.000,2.3,3.0,.750,1.0,1.0,1.000,1.0,4.0,3.5,1.0,0.3,1.3,2.8,5.5
