Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Washington Mystics*,34,200.7,32.8,69.9,.469,9.3,25.4,.366,23.5,44.4,.529,14.4,16.4,.875,8.4,24.9,33.3,21.9,7.7,4.6,10.9,15.5,89.3
2,Chicago Sky*,34,200.7,31.4,70.0,.448,7.3,21.6,.336,24.1,48.4,.498,14.6,17.9,.819,8.2,28.2,36.4,21.6,6.8,4.5,14.4,17.7,84.6
3,Las Vegas Aces*,34,201.5,30.0,70.3,.427,5.5,14.9,.368,24.5,55.3,.443,16.7,21.5,.777,9.2,29.7,38.9,20.9,7.0,4.6,14.1,16.9,82.2
4,Connecticut Sun*,34,200.7,30.2,71.3,.423,7.5,21.0,.356,22.7,50.3,.451,13.0,18.5,.704,10.9,25.9,36.8,19.2,8.9,3.9,13.2,17.4,80.8
5,Los Angeles Sparks*,34,200.7,30.3,70.2,.432,7.1,20.9,.341,23.2,49.4,.470,12.3,14.7,.838,8.6,25.6,34.2,18.6,8.2,3.8,13.5,18.1,80.1
6,Minnesota Lynx*,34,200.0,30.3,67.1,.451,5.8,17.5,.332,24.5,49.6,.493,12.1,15.4,.781,9.0,25.0,34.0,20.3,8.4,3.9,15.3,16.5,78.4
7,Indiana Fever,34,201.5,29.0,68.6,.422,5.8,16.7,.346,23.2,51.9,.446,13.9,17.4,.794,9.0,26.1,35.1,17.3,6.3,3.7,12.9,17.4,77.6
8,New York Liberty,34,200.0,28.7,69.4,.414,6.5,19.6,.334,22.2,49.8,.446,13.4,17.0,.788,9.1,25.5,34.6,19.6,6.8,3.7,14.7,20.9,77.4
9,Phoenix Mercury*,34,200.7,27.2,64.2,.424,6.6,20.2,.325,20.6,44.1,.469,15.5,18.4,.846,6.6,25.8,32.5,17.9,5.9,4.4,12.3,16.7,76.5
10,Seattle Storm*,34,200.0,27.8,66.2,.420,7.1,21.1,.336,20.7,45.1,.460,12.1,15.2,.792,9.1,22.9,32.0,17.5,9.5,3.9,14.6,15.6,74.8
11,Dallas Wings,34,200.0,25.9,66.6,.389,6.4,19.5,.326,19.5,47.1,.414,13.5,16.6,.811,10.5,23.4,33.9,15.2,7.3,3.8,12.6,19.4,71.6
12,Atlanta Dream,34,200.7,25.6,69.2,.371,6.4,22.0,.290,19.3,47.2,.408,13.5,18.0,.752,9.9,26.2,36.1,15.7,6.6,5.4,13.6,17.6,71.2
,League Average,34,200.6,29.1,68.6,.424,6.8,20.0,.338,22.3,48.5,.460,13.7,17.3,.796,9.0,25.8,34.8,18.8,7.5,4.2,13.5,17.5,78.7
