,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena
1,Minnesota Lynx*,28.8,34,10,37,7,9.41,-0.69,8.72,112.3,100.0,+12.3,76.4,.236,.372,.572,,.542,13.9,26.0,.179,,.481,15.9,74.1,.178,,
2,Atlanta Dream*,27.8,30,14,35,9,7.59,-1.10,6.49,110.5,100.5,+10.0,76.2,.275,.418,.555,,.514,12.9,26.7,.216,,.478,13.4,79.8,.181,,
3,New York Liberty*,29.4,27,17,29,15,4.07,-0.28,3.79,108.3,103.1,+5.2,77.9,.286,.410,.574,,.526,14.9,20.8,.239,,.483,13.9,73.6,.183,,
4,Indiana Fever*,28.1,24,20,28,16,3.36,-0.83,2.53,108.4,104.1,+4.3,78.0,.261,.349,.554,,.517,14.3,26.2,.201,,.503,16.0,75.7,.233,,
5,Las Vegas Aces*,28.1,30,14,27,17,2.91,-0.32,2.59,108.1,104.4,+3.7,77.3,.273,.383,.552,,.506,13.6,23.5,.225,,.489,14.1,74.5,.199,,
6,Phoenix Mercury*,29.7,27,17,27,17,2.68,-0.13,2.55,105.9,102.5,+3.4,78.2,.259,.403,.542,,.502,14.1,24.4,.203,,.486,15.5,75.5,.225,,
7,Seattle Storm*,30.2,23,21,26,18,2.05,-0.02,2.02,104.5,101.9,+2.6,78.2,.231,.319,.539,,.505,13.2,19.9,.178,,.497,16.8,74.2,.219,,
8,Golden State Valkyries*,27.0,23,21,25,19,1.39,0.08,1.47,103.9,102.1,+1.8,74.6,.282,.458,.531,,.482,14.9,26.0,.230,,.472,13.9,76.0,.215,,Chase Center
9,Los Angeles Sparks,28.3,21,23,18,26,-2.57,0.38,-2.19,107.5,110.7,-3.2,79.0,.304,.382,.563,,.521,15.7,24.1,.234,,.524,13.8,73.6,.189,,
10,Washington Mystics,24.8,16,28,14,30,-4.43,0.21,-4.23,100.0,105.7,-5.7,76.9,.325,.269,.530,,.483,16.4,23.5,.245,,.505,14.3,77.6,.225,,
11,Dallas Wings,25.4,10,34,11,33,-6.30,0.92,-5.38,103.3,111.2,-7.9,78.8,.257,.302,.514,,.469,13.9,27.6,.206,,.531,14.2,75.7,.255,,
12,Chicago Sky,27.7,10,34,7,37,-10.05,0.92,-9.13,98.8,111.9,-13.1,76.7,.259,.306,.516,,.476,17.4,29.1,.198,,.521,12.6,74.7,.215,,
13,Connecticut Sun,27.1,11,33,7,37,-10.11,0.87,-9.24,98.3,111.4,-13.1,76.9,.272,.304,.505,,.458,14.9,24.4,.216,,.530,15.4,72.6,.254,,
,League Average,28.0,,,22,22,0.00,0.00,0.00,105.4,105.4,,77.3,.270,.360,.542,,.500,14.6,24.8,.213,,.500,14.6,75.2,.213,,
