,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Atlanta Dream,34,6825,.371,13.8,,.682,.226,.170,.114,.172,.318,,.408,.528,.375,.371,.309,.290,,.547,.806,,.174,.300
2,Chicago Sky*,34,6825,.448,13.0,,.691,.307,.137,.093,.154,.309,,.498,.618,.408,.414,.390,.336,,.620,.911,,.152,.348
3,Connecticut Sun*,34,6825,.423,13.0,,.706,.207,.247,.129,.123,.294,,.451,.631,.406,.365,.330,.356,,.548,.913,,.136,.412
4,Dallas Wings,34,6800,.389,13.5,,.708,.166,.260,.152,.129,.292,,.414,.568,.380,.390,.314,.326,,.494,.880,,.085,.339
5,Indiana Fever,34,6850,.422,13.2,,.756,.254,.148,.135,.219,.244,,.446,.583,.365,.392,.376,.346,,.572,.701,,.181,.350
6,Los Angeles Sparks*,34,6825,.432,13.2,,.703,.247,.198,.119,.139,.297,,.470,.656,.407,.375,.311,.341,,.550,.826,,.137,.351
7,Las Vegas Aces*,34,6850,.427,11.8,,.787,.201,.311,.138,.137,.213,,.443,.624,.423,.365,.302,.368,,.655,.882,,.110,.393
8,Minnesota Lynx*,34,6800,.451,12.3,,.739,.292,.183,.131,.133,.261,,.493,.639,.395,.418,.385,.332,,.602,.954,,.121,.347
9,New York Liberty,34,6800,.414,13.0,,.718,.246,.192,.137,.143,.282,,.446,.600,.361,.373,.365,.334,,.629,.865,,.161,.346
10,Phoenix Mercury*,34,6825,.424,13.6,,.686,.214,.223,.112,.137,.314,,.469,.635,.413,.418,.341,.325,,.613,.798,,.169,.336
11,Seattle Storm*,34,6800,.420,13.7,,.681,.214,.224,.101,.143,.319,,.460,.633,.370,.364,.408,.336,,.552,.880,,.152,.367
12,Washington Mystics*,34,6825,.469,15.0,,.636,.154,.213,.131,.138,.364,,.529,.704,.491,.462,.456,.366,,.586,.880,,.157,.441
,League Average,34,6820,.424,13.3,,.708,.228,.209,.124,.147,.292,,.460,.617,.402,.392,.358,.338,,.583,.860,,.146,.361
