player,draft_year,draft_pick,RIS,predicted_RIS,error,abs_error
Aliyah Boston,2023,1,0.696,0.552,-0.144,0.144
Diamond Miller,2023,2,0.356,0.52,0.164,0.164
Maddy Siegrist,2023,3,0.407,0.381,-0.026,0.026
Stephanie Soares,2023,4,0.163,0.369,0.206,0.206
Lou Lopez Sénéchal,2023,5,0.113,0.247,0.134,0.134
Haley Jones,2023,6,0.371,0.198,-0.173,0.173
Grace Berger,2023,7,0.31,0.139,-0.171,0.171
Laeticia Amihere,2023,8,0.274,0.503,0.229,0.229
Jordan Horston,2023,9,0.429,0.324,-0.105,0.105
Zia Cooke,2023,10,0.257,0.283,0.026,0.026
Abby Meyers,2023,11,0.127,0.395,0.268,0.268
Taylor Mikesell,2023,13,0.193,0.21,0.017,0.017
Leigha Brown,2023,15,0.135,0.265,0.13,0.13
Caitlin Clark,2024,1,0.705,0.76,0.055,0.055
Cameron Brink,2024,2,0.345,0.515,0.17,0.17
Kamilla Cardoso,2024,3,0.575,0.632,0.057,0.057
Rickea Jackson,2024,4,0.535,0.299,-0.236,0.236
Jacy Sheldon,2024,5,0.392,0.514,0.122,0.122
Aaliyah Edwards,2024,6,0.391,0.596,0.205,0.205
Angel Reese,2024,7,0.676,0.647,-0.029,0.029
Alissa Pili,2024,8,0.186,0.381,0.195,0.195
Marquesha Davis,2024,11,0.139,0.213,0.074,0.074
Nika Mühl,2024,14,0.079,0.319,0.24,0.24
Celeste Taylor,2024,15,0.228,0.286,0.058,0.058
Paige Bueckers,2025,1,0.653,0.685,0.032,0.032
Sonia Citron,2025,3,0.568,0.43,-0.138,0.138
Kiki Iriafen,2025,4,0.557,0.626,0.069,0.069
Aneesah Morrow,2025,7,0.398,0.615,0.217,0.217
Saniya Rivers,2025,8,0.432,0.107,-0.325,0.325
Sarah Ashlee Barker,2025,9,0.237,0.413,0.176,0.176
Hailey Van Lith,2025,11,0.216,0.313,0.097,0.097
Aziaha James,2025,12,0.344,0.273,-0.071,0.071
Aaliyah Nye,2025,13,0.267,0.228,-0.039,0.039
Madison Scott,2025,14,0.149,0.201,0.052,0.052
