Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,player
2021-22,UConn,Big East,FR,G,25.0,17.0,28.0,4.3,9.4,0.457,2.3,5.4,0.43,2.0,4.0,0.495,0.581,1.2,1.4,0.912,0.3,2.4,2.7,1.0,1.0,0.7,1.0,1.0,12.1,Azzi Fudd
2022-23,UConn,Big East,SO,G,15.0,10.0,28.2,5.9,13.0,0.456,2.3,6.7,0.34,3.7,6.3,0.579,0.544,1.0,1.1,0.882,0.4,1.5,1.9,1.9,1.3,0.3,1.7,1.0,15.1,Azzi Fudd
2023-24,UConn,Big East,JR,G,2.0,2.0,30.5,4.0,12.5,0.32,2.0,7.0,0.286,2.0,5.5,0.364,0.4,1.0,1.0,1.0,1.0,1.5,2.5,2.5,1.0,0.0,1.5,2.5,11.0,Azzi Fudd
2024-25,UConn,Big East,SR,G,34.0,30.0,26.5,5.1,10.9,0.474,2.3,5.3,0.436,2.8,5.5,0.511,0.581,1.0,1.1,0.917,0.6,1.4,2.0,1.8,1.4,0.3,1.0,1.1,13.6,Azzi Fudd
2025-26,UConn,Big East,SR,G,39.0,39.0,28.7,6.6,13.7,0.481,3.0,6.7,0.447,3.6,7.0,0.515,0.591,1.1,1.1,0.955,0.7,1.8,2.6,3.1,2.5,0.5,1.5,0.8,17.3,Azzi Fudd
2020-21,Notre Dame,ACC,FR,G,6.0,0.0,22.7,4.0,7.8,0.511,0.2,1.7,0.1,3.8,6.2,0.622,0.521,1.2,2.5,0.467,1.7,2.0,3.7,3.5,1.2,0.2,3.0,2.3,9.3,Olivia Miles
2021-22,Notre Dame,ACC,FR,G,33.0,33.0,33.3,5.4,11.8,0.455,1.0,3.7,0.27,4.4,8.1,0.539,0.497,2.0,2.9,0.677,0.5,5.2,5.7,7.4,1.8,0.2,3.8,2.1,13.7,Olivia Miles
2022-23,Notre Dame,ACC,SO,G,28.0,28.0,31.6,5.2,11.3,0.46,0.6,2.8,0.228,4.5,8.4,0.538,0.489,3.3,4.3,0.767,0.4,6.8,7.3,6.9,2.1,0.2,3.3,1.7,14.3,Olivia Miles
2024-25,Notre Dame,ACC,SR,G,34.0,34.0,33.0,5.4,11.1,0.483,2.1,5.3,0.406,3.2,5.9,0.553,0.579,2.4,3.1,0.79,0.3,5.4,5.6,5.8,1.4,0.2,2.5,1.8,15.4,Olivia Miles
2025-26,TCU,Big 12,SR,G,38.0,38.0,35.4,7.1,14.7,0.481,1.9,5.5,0.351,5.1,9.2,0.559,0.547,3.6,4.2,0.839,0.5,6.7,7.2,6.6,1.8,0.3,3.7,2.1,19.6,Olivia Miles
2022-23,Stanford,Pac-12,FR,C,33.0,0.0,9.6,2.4,4.0,0.602,0.0,0.0,0.0,2.4,4.0,0.602,0.602,1.0,1.8,0.567,1.3,2.2,3.5,0.5,0.2,0.9,0.5,0.3,5.9,Lauren Betts
2023-24,UCLA,Pac-12,SO,C,29.0,27.0,27.2,6.3,9.9,0.643,0.0,0.0,0.0,6.3,9.9,0.643,0.643,2.2,3.6,0.61,3.7,5.6,9.3,1.0,0.4,2.0,2.1,1.8,14.9,Lauren Betts
2024-25,UCLA,Big Ten,JR,C,34.0,34.0,30.1,8.6,13.4,0.648,0.0,0.0,0.0,8.6,13.4,0.648,0.648,2.9,4.6,0.62,4.0,5.5,9.5,2.7,0.9,2.9,2.7,1.7,20.2,Lauren Betts
2025-26,UCLA,Big Ten,SR,C,37.0,37.0,27.7,7.5,12.8,0.582,0.0,0.1,0.0,7.5,12.8,0.585,0.582,2.2,3.2,0.686,3.5,5.3,8.8,3.2,1.0,2.1,2.2,1.7,17.1,Lauren Betts
2022-23,UCLA,Pac-12,FR,F,37.0,2.0,17.4,2.4,5.4,0.455,0.5,1.4,0.34,1.9,3.9,0.497,0.5,1.0,1.5,0.632,1.3,2.2,3.5,0.6,0.9,0.1,0.9,1.8,6.3,Gabriela Jaquez
2023-24,UCLA,Pac-12,SO,F,34.0,6.0,25.2,3.8,7.9,0.478,0.6,2.4,0.259,3.2,5.6,0.571,0.517,1.8,2.6,0.713,2.0,3.6,5.6,1.6,0.6,0.1,1.4,2.2,10.0,Gabriela Jaquez
2024-25,UCLA,Big Ten,JR,F,36.0,33.0,26.7,3.8,7.3,0.523,0.9,2.5,0.348,3.0,4.9,0.611,0.581,1.1,1.3,0.826,2.1,3.2,5.3,2.2,0.6,0.1,0.9,1.9,9.6,Gabriela Jaquez
