player,avg_G,avg_MP,avg_FG%,avg_3P%,avg_FT%,avg_ORB,avg_DRB,avg_TRB,avg_AST,avg_STL,avg_BLK,avg_TOV,avg_PTS,avg_eFG%,seasons_played,final_season_pts
AD Durr,35.7,30.67,0.4365,0.3788,0.8207,0.63,2.7600000000000002,3.39,2.51,1.27,0.3400000000000001,1.77,19.03,0.5306000000000001,4.0,21.2
Aaliyah Edwards,36.0,29.03,0.587,0.38,0.7423,2.41,5.52,7.97,1.93,1.36,0.93,2.52,14.670000000000002,0.5883,4.0,17.6
Aaliyah Nye,30.866666666666667,29.673333333333332,0.43466666666666665,0.4256666666666667,0.721,0.38,2.14,2.52,1.18,1.2666666666666666,0.32,1.3066666666666666,12.879999999999999,0.5754666666666667,5.0,15.2
Aaliyah Wilson,24.6,27.39,0.3971,0.3537,0.6377,1.1400000000000001,3.4800000000000004,4.58,2.12,1.4100000000000001,0.79,2.0100000000000002,10.27,0.4369,4.0,12.7
Aari McDonald,29.7,32.519999999999996,0.4379,0.3106,0.7601000000000001,1.07,4.300000000000001,5.41,3.7399999999999998,2.39,0.07,3.3000000000000003,20.22,0.49330000000000007,4.0,20.6
Abby Meyers,30.4,25.64,0.43400000000000005,0.363,0.7364,1.46,3.16,4.62,1.7,1.37,0.45,1.4400000000000002,13.29,0.5101,4.0,14.3
Alanna Smith,35.9,25.28,0.4844,0.3461000000000001,0.655,2.04,4.8100000000000005,6.859999999999999,1.34,0.9800000000000001,1.8100000000000003,2.1,14.17,0.5417000000000001,4.0,19.4
Alissa Pili,27.199999999999996,25.46,0.4962666666666667,0.3486666666666667,0.8117333333333333,1.64,4.006666666666667,5.633333333333333,1.7933333333333332,0.94,0.6399999999999999,1.9066666666666667,16.766666666666666,0.5380666666666667,5.0,21.4
Aliyah Boston,35.400000000000006,27.49,0.544,0.1993,0.7591000000000001,3.76,7.18,10.91,1.78,0.9299999999999999,2.3,1.3599999999999999,14.23,0.5542,4.0,13.0
Aneesah Morrow,35.4,33.27,0.4721,0.25479999999999997,0.7336,4.34,7.85,12.22,1.6800000000000002,2.54,1.01,2.2199999999999998,19.73,0.4879,4.0,18.7
Angel Reese,31.9,29.32,0.49260000000000004,0.1476,0.7065,5.45,7.21,12.7,2.02,1.7000000000000002,1.23,2.27,18.900000000000002,0.4942,4.0,18.6
Arike Ogunbowale,37.900000000000006,31.180000000000003,0.4444,0.3881,0.7786000000000001,1.0,3.8600000000000003,4.88,2.86,1.48,0.12000000000000002,1.72,19.28,0.4961,4.0,21.8
Aziaha James,34.3,26.69,0.4268,0.3227,0.6996,0.77,3.2699999999999996,4.08,2.43,1.04,0.25,1.77,13.98,0.49150000000000005,4.0,17.9
Bella Alarie,25.1,30.750000000000004,0.4851,0.33440000000000003,0.7708,2.77,6.530000000000001,9.299999999999999,2.61,1.21,2.45,1.7600000000000002,17.759999999999998,0.5157,4.0,17.5
Brianna Turner,35.5,27.73,0.6219000000000001,0.0,0.6473,2.64,4.9,7.5,1.2200000000000002,0.9500000000000001,2.7199999999999998,1.6600000000000001,14.650000000000002,0.6219000000000001,4.0,14.4
Caitlin Clark,36.400000000000006,34.8,0.4615,0.3749,0.8577000000000001,0.42000000000000004,6.82,7.280000000000001,8.45,1.56,0.52,4.58,29.04,0.5607,4.0,31.6
Cameron Brink,34.0,23.85,0.5195000000000001,0.29319999999999996,0.7765,2.6399999999999997,7.28,9.920000000000002,1.99,0.7000000000000001,3.33,2.13,15.18,0.5394,4.0,17.4
