draft_pick,wnba_team,player,college,wnba_years,wnba_games,wnba_mpg,wnba_ppg,wnba_rpg,wnba_apg,wnba_ws,wnba_ws40,draft_year
1,Las Vegas Aces,Jackie Young,Notre Dame,7,243.0,30.0,14.0,4.1,4.2,31.0,0.17,2019
2,New York Liberty,AD Durr,Louisville,3,79.0,15.7,6.6,1.2,1.1,0.9,0.027,2019
3,Indiana Fever,Teaira McCowan,Mississippi State,7,207.0,22.6,10.7,8.1,1.0,17.7,0.152,2019
4,Chicago Sky,Katie Lou Samuelson,UConn,5,138.0,20.1,5.9,2.5,1.4,3.5,0.05,2019
5,Dallas Wings,Arike Ogunbowale,Notre Dame,7,224.0,34.2,19.9,3.2,4.0,18.7,0.097,2019
6,Minnesota Lynx,Napheesa Collier,UConn,7,193.0,33.5,18.4,7.8,3.0,33.6,0.208,2019
7,Los Angeles Sparks,Kalani Brown,Baylor,6,139.0,13.3,5.7,3.5,0.8,6.1,0.132,2019
8,Phoenix Mercury,Alanna Smith,Stanford,7,183.0,20.9,7.3,4.6,1.9,13.1,0.137,2019
9,Connecticut Sun,Kristine Anigwe,California,5,77.0,9.6,2.8,2.3,0.3,0.7,0.041,2019
10,Washington Mystics,Kiara Leslie,NC State,2,28.0,17.9,4.6,2.8,0.8,0.1,0.007,2019
11,Atlanta Dream,Brianna Turner,Notre Dame,7,212.0,22.5,4.1,5.7,1.3,11.6,0.097,2019
12,Seattle Storm,Ezi Magbegor,,6,206.0,25.3,9.7,6.0,1.7,20.7,0.159,2019
13,Phoenix Mercury,Sophie Cunningham,Missouri,7,212.0,23.1,7.9,2.8,1.4,11.0,0.09,2019
14,New York Liberty,Han Xu,,3,58.0,12.4,5.8,2.4,0.6,1.7,0.096,2019
15,Chicago Sky,Chloe Jackson,Baylor,1,8.0,4.0,0.6,0.8,0.5,-0.2,-0.245,2019
1,New York Liberty,Sabrina Ionescu,Oregon,6,181.0,31.4,16.7,5.5,5.9,20.7,0.146,2020
2,Dallas Wings,Satou Sabally,Oregon,6,136.0,28.8,15.9,6.7,3.3,13.5,0.138,2020
