Team,season,ORtg,DRtg,NRtg,Pace,TS%
Washington Mystics,2019,115.9,100.3,15.6,76.7,0.579
Las Vegas Aces,2019,100.9,96.8,4.1,80.8,0.516
Connecticut Sun,2019,102.4,98.7,3.7,78.7,0.509
Los Angeles Sparks,2019,101.6,98.0,3.6,78.5,0.522
Minnesota Lynx,2019,100.8,97.7,3.1,77.7,0.531
Chicago Sky,2019,103.3,101.7,1.6,81.6,0.543
Seattle Storm,2019,98.7,99.1,-0.4,75.7,0.513
Phoenix Mercury,2019,100.5,101.9,-1.4,75.8,0.529
Indiana Fever,2019,100.5,104.0,-3.5,76.7,0.508
Dallas Wings,2019,96.7,104.6,-7.9,74.0,0.484
New York Liberty,2019,97.4,106.6,-9.2,79.5,0.504
Atlanta Dream,2019,91.6,101.4,-9.8,77.4,0.462
Seattle Storm,2020,110.4,95.9,14.5,79.2,0.575
Las Vegas Aces,2020,109.6,99.0,10.6,81.0,0.562
Los Angeles Sparks,2020,105.9,100.2,5.7,79.2,0.571
Minnesota Lynx,2020,109.6,104.6,5.0,77.0,0.562
Chicago Sky,2020,107.6,104.3,3.3,80.7,0.58
Phoenix Mercury,2020,106.8,104.3,2.5,80.2,0.564
Connecticut Sun,2020,101.7,101.1,0.6,78.6,0.513
Washington Mystics,2020,103.5,105.5,-2.0,76.4,0.532
Dallas Wings,2020,105.9,110.4,-4.5,77.8,0.525
Atlanta Dream,2020,100.1,108.4,-8.3,80.0,0.518
Indiana Fever,2020,104.0,114.0,-10.0,78.5,0.543
New York Liberty,2020,88.6,105.9,-17.3,81.1,0.485
Connecticut Sun,2021,106.9,93.7,13.2,74.0,0.543
Las Vegas Aces,2021,109.1,98.0,11.1,80.8,0.559
Seattle Storm,2021,106.3,100.7,5.6,78.2,0.556
Minnesota Lynx,2021,104.2,99.1,5.1,78.7,0.553
Phoenix Mercury,2021,106.5,103.2,3.3,76.4,0.553
Chicago Sky,2021,102.9,101.3,1.6,79.6,0.538
Dallas Wings,2021,104.3,105.0,-0.7,77.2,0.521
Washington Mystics,2021,101.5,106.4,-4.9,78.3,0.519
Los Angeles Sparks,2021,93.7,99.3,-5.6,77.1,0.501
Atlanta Dream,2021,99.3,106.4,-7.1,78.6,0.489
New York Liberty,2021,97.0,105.7,-8.7,80.6,0.541
Indiana Fever,2021,97.4,110.1,-12.7,77.3,0.498
Connecticut Sun,2022,108.5,98.3,10.2,78.5,0.552
Las Vegas Aces,2022,111.9,104.0,7.9,80.6,0.573
Chicago Sky,2022,107.7,101.5,6.2,79.2,0.574
Washington Mystics,2022,103.5,97.8,5.7,76.7,0.538
Seattle Storm,2022,104.9,99.7,5.2,78.3,0.547
Dallas Wings,2022,106.6,106.3,0.3,77.6,0.536
Minnesota Lynx,2022,104.4,106.3,-1.9,78.4,0.545
New York Liberty,2022,101.1,104.1,-3.0,77.9,0.543
Atlanta Dream,2022,98.1,101.8,-3.7,79.5,0.516
Phoenix Mercury,2022,102.6,106.4,-3.8,78.2,0.543
Los Angeles Sparks,2022,99.6,108.6,-9.0,79.5,0.53
Indiana Fever,2022,96.6,110.3,-13.7,80.2,0.5
Las Vegas Aces,2023,114.8,99.2,15.6,80.9,0.597
New York Liberty,2023,111.8,101.0,10.8,79.0,0.577
Connecticut Sun,2023,105.4,100.7,4.7,77.7,0.54
Dallas Wings,2023,109.5,105.8,3.7,80.0,0.535
Washington Mystics,2023,101.5,102.0,-0.5,79.1,0.533
Atlanta Dream,2023,101.1,102.9,-1.8,81.1,0.527
Chicago Sky,2023,103.3,105.3,-2.0,78.7,0.533
Los Angeles Sparks,2023,100.1,102.2,-2.1,78.6,0.525
Indiana Fever,2023,103.0,108.1,-5.1,77.9,0.532
Minnesota Lynx,2023,101.4,107.5,-6.1,78.6,0.53
Seattle Storm,2023,98.7,105.8,-7.1,79.6,0.518
Phoenix Mercury,2023,99.1,109.9,-10.8,77.0,0.539
New York Liberty,2024,109.6,97.9,11.7,78.1,0.561
Connecticut Sun,2024,105.0,96.4,8.6,75.8,0.533
Minnesota Lynx,2024,104.6,96.5,8.1,77.7,0.553
Las Vegas Aces,2024,108.0,101.2,6.8,79.7,0.567
Seattle Storm,2024,104.2,98.6,5.6,79.4,0.525
Indiana Fever,2024,106.1,109.5,-3.4,79.8,0.559
Atlanta Dream,2024,99.0,102.5,-3.5,77.1,0.501
Washington Mystics,2024,99.7,103.4,-3.7,79.1,0.538
Phoenix Mercury,2024,103.6,107.8,-4.2,78.2,0.547
Chicago Sky,2024,99.1,105.6,-6.5,78.2,0.495
Los Angeles Sparks,2024,98.6,107.7,-9.1,79.2,0.523
Dallas Wings,2024,104.2,114.0,-9.8,80.1,0.531
Minnesota Lynx,2025,112.3,100.0,12.3,76.4,0.572
Atlanta Dream,2025,110.5,100.5,10.0,76.2,0.555
New York Liberty,2025,108.3,103.1,5.2,77.9,0.574
Indiana Fever,2025,108.4,104.1,4.3,78.0,0.554
Las Vegas Aces,2025,108.1,104.4,3.7,77.3,0.552
Phoenix Mercury,2025,105.9,102.5,3.4,78.2,0.542
Seattle Storm,2025,104.5,101.9,2.6,78.2,0.539
Golden State Valkyries,2025,103.9,102.1,1.8,74.6,0.531
Los Angeles Sparks,2025,107.5,110.7,-3.2,79.0,0.563
Washington Mystics,2025,100.0,105.7,-5.7,76.9,0.53
Dallas Wings,2025,103.3,111.2,-7.9,78.8,0.514
Chicago Sky,2025,98.8,111.9,-13.1,76.7,0.516
Connecticut Sun,2025,98.3,111.4,-13.1,76.9,0.505
