Team,season,FG%,3P%,%3PA
Atlanta Dream,2019,0.371,0.3,0.174
Chicago Sky,2019,0.448,0.348,0.152
Connecticut Sun,2019,0.423,0.412,0.136
Dallas Wings,2019,0.389,0.339,0.085
Indiana Fever,2019,0.422,0.35,0.181
Los Angeles Sparks,2019,0.432,0.351,0.137
Las Vegas Aces,2019,0.427,0.393,0.11
Minnesota Lynx,2019,0.451,0.347,0.121
New York Liberty,2019,0.414,0.346,0.161
Phoenix Mercury,2019,0.424,0.336,0.169
Seattle Storm,2019,0.42,0.367,0.152
Washington Mystics,2019,0.469,0.441,0.157
Atlanta Dream,2020,0.442,0.343,0.094
Chicago Sky,2020,0.491,0.411,0.118
Connecticut Sun,2020,0.427,0.405,0.1
Dallas Wings,2020,0.415,0.344,0.105
Indiana Fever,2020,0.441,0.333,0.102
Los Angeles Sparks,2020,0.481,0.438,0.16
Las Vegas Aces,2020,0.477,0.407,0.107
Minnesota Lynx,2020,0.456,0.452,0.089
New York Liberty,2020,0.372,0.191,0.113
Phoenix Mercury,2020,0.45,0.357,0.104
Seattle Storm,2020,0.47,0.531,0.136
Washington Mystics,2020,0.433,0.369,0.121
Atlanta Dream,2021,0.417,0.352,0.166
Chicago Sky,2021,0.441,0.424,0.146
Connecticut Sun,2021,0.444,0.333,0.168
Dallas Wings,2021,0.42,0.352,0.119
Indiana Fever,2021,0.417,0.35,0.145
Los Angeles Sparks,2021,0.411,0.385,0.141
Las Vegas Aces,2021,0.472,0.368,0.132
Minnesota Lynx,2021,0.458,0.385,0.143
New York Liberty,2021,0.428,0.441,0.171
Phoenix Mercury,2021,0.45,0.368,0.195
Seattle Storm,2021,0.45,0.386,0.14
Washington Mystics,2021,0.41,0.37,0.157
Atlanta Dream,2022,0.42,0.357,0.182
Chicago Sky,2022,0.481,0.443,0.186
Connecticut Sun,2022,0.462,0.437,0.194
Dallas Wings,2022,0.435,0.365,0.141
Indiana Fever,2022,0.409,0.31,0.178
Los Angeles Sparks,2022,0.446,0.303,0.163
Las Vegas Aces,2022,0.46,0.388,0.198
Minnesota Lynx,2022,0.45,0.416,0.16
New York Liberty,2022,0.431,0.384,0.152
Phoenix Mercury,2022,0.429,0.322,0.19
Seattle Storm,2022,0.442,0.355,0.18
Washington Mystics,2022,0.439,0.378,0.176
Atlanta Dream,2023,0.428,0.244,0.166
Chicago Sky,2023,0.442,0.46,0.184
Connecticut Sun,2023,0.445,0.399,0.211
Dallas Wings,2023,0.443,0.37,0.127
Indiana Fever,2023,0.442,0.342,0.196
Los Angeles Sparks,2023,0.425,0.419,0.165
Las Vegas Aces,2023,0.486,0.374,0.247
Minnesota Lynx,2023,0.435,0.373,0.151
New York Liberty,2023,0.46,0.383,0.244
Phoenix Mercury,2023,0.444,0.349,0.212
Seattle Storm,2023,0.41,0.403,0.159
Washington Mystics,2023,0.428,0.398,0.18
Atlanta Dream,2024,0.408,0.288,0.21
Chicago Sky,2024,0.422,0.31,0.194
Connecticut Sun,2024,0.444,0.3,0.181
Dallas Wings,2024,0.446,0.333,0.149
Indiana Fever,2024,0.456,0.372,0.182
Los Angeles Sparks,2024,0.423,0.321,0.173
Las Vegas Aces,2024,0.454,0.359,0.242
Minnesota Lynx,2024,0.448,0.429,0.198
New York Liberty,2024,0.448,0.403,0.201
Phoenix Mercury,2024,0.439,0.316,0.179
Seattle Storm,2024,0.435,0.301,0.17
Washington Mystics,2024,0.433,0.451,0.183
Atlanta Dream,2025,0.443,0.373,0.163
Chicago Sky,2025,0.425,0.351,0.173
Connecticut Sun,2025,0.412,0.36,0.167
Dallas Wings,2025,0.423,0.363,0.154
Golden State Valkyries,2025,0.407,0.31,0.224
Indiana Fever,2025,0.456,0.361,0.197
Los Angeles Sparks,2025,0.457,0.353,0.224
Las Vegas Aces,2025,0.439,0.362,0.245
Minnesota Lynx,2025,0.472,0.438,0.166
New York Liberty,2025,0.453,0.369,0.197
Phoenix Mercury,2025,0.433,0.402,0.214
Seattle Storm,2025,0.45,0.381,0.195
Washington Mystics,2025,0.439,0.314,0.224
